Player_ID,RotationTime,MovementTime,CircuitTime,HomingTime_1,HomingTime_2,TotalHomingTime,TotalTrainingTime,PI_TotalTime_0,PI_Distance_0,PI_DistRatio_0,PI_FinalAngle_0,PI_Angle_0,PI_Corrected_PI_Angle_0,PI_TotalTime_1,PI_Distance_1,PI_DistRatio_1,PI_FinalAngle_1,PI_Angle_1,PI_Corrected_PI_Angle_1,PI_TotalTime_2,PI_Distance_2,PI_DistRatio_2,PI_FinalAngle_2,PI_Angle_2,PI_Corrected_PI_Angle_2,PI_TotalTime_3,PI_Distance_3,PI_DistRatio_3,PI_FinalAngle_3,PI_Angle_3,PI_Corrected_PI_Angle_3,PI_TotalTime_4,PI_Distance_4,PI_DistRatio_4,PI_FinalAngle_4,PI_Angle_4,PI_Corrected_PI_Angle_4,PI_TotalTime_5,PI_Distance_5,PI_DistRatio_5,PI_FinalAngle_5,PI_Angle_5,PI_Corrected_PI_Angle_5,PI_TotalTime_6,PI_Distance_6,PI_DistRatio_6,PI_FinalAngle_6,PI_Angle_6,PI_Corrected_PI_Angle_6,PI_TotalTime_7,PI_Distance_7,PI_DistRatio_7,PI_FinalAngle_7,PI_Angle_7,PI_Corrected_PI_Angle_7,PI_TotalTime_8,PI_Distance_8,PI_DistRatio_8,PI_FinalAngle_8,PI_Angle_8,PI_Corrected_PI_Angle_8,PI_TotalTime_9,PI_Distance_9,PI_DistRatio_9,PI_FinalAngle_9,PI_Angle_9,PI_Corrected_PI_Angle_9,PI_TotalTime_10,PI_Distance_10,PI_DistRatio_10,PI_FinalAngle_10,PI_Angle_10,PI_Corrected_PI_Angle_10,PI_TotalTime_11,PI_Distance_11,PI_DistRatio_11,PI_FinalAngle_11,PI_Angle_11,PI_Corrected_PI_Angle_11,PI_TotalTime_12,PI_Distance_12,PI_DistRatio_12,PI_FinalAngle_12,PI_Angle_12,PI_Corrected_PI_Angle_12,PointingJudgement_AbsoluteError_0_Trial_0,PointingJudgement_AbsoluteError_0_Trial_1,PointingJudgement_AbsoluteError_0_Trial_2,PointingJudgement_AbsoluteError_0_Trial_3,PointingJudgement_AbsoluteError_0_Trial_4,PointingJudgement_AbsoluteError_1_Trial_0,PointingJudgement_AbsoluteError_1_Trial_1,PointingJudgement_AbsoluteError_1_Trial_2,PointingJudgement_AbsoluteError_1_Trial_3,PointingJudgement_AbsoluteError_1_Trial_4,PointingJudgement_AbsoluteError_2_Trial_0,PointingJudgement_AbsoluteError_2_Trial_1,PointingJudgement_AbsoluteError_2_Trial_2,PointingJudgement_AbsoluteError_2_Trial_3,PointingJudgement_AbsoluteError_2_Trial_4,PointingJudgement_AbsoluteError_3_Trial_0,PointingJudgement_AbsoluteError_3_Trial_1,PointingJudgement_AbsoluteError_3_Trial_2,PointingJudgement_AbsoluteError_3_Trial_3,PointingJudgement_AbsoluteError_3_Trial_4,PointingJudgement_AbsoluteError_4_Trial_0,PointingJudgement_AbsoluteError_4_Trial_1,PointingJudgement_AbsoluteError_4_Trial_2,PointingJudgement_AbsoluteError_4_Trial_3,PointingJudgement_AbsoluteError_4_Trial_4,PointingJudgement_AbsoluteError_5_Trial_0,PointingJudgement_AbsoluteError_5_Trial_1,PointingJudgement_AbsoluteError_5_Trial_2,PointingJudgement_AbsoluteError_5_Trial_3,PointingJudgement_AbsoluteError_5_Trial_4,Average_PointingJudgementError_all,PointingJudgementTotalTime,MapTotalTime,CalculatedMapTotalTimeSeconds,MapRSq,MemoryTotalTime,CalculatedMemoryTotalTimeSeconds,MemoryPercentCorrect,Overall_PerpectiveIdleTime,Overall_PerspectiveTotalTime,Overall_PerspectiveErrorMeasure,SPACEStartTime,SPACEEndTime,SPACETotalTime,Nest_X,Nest_Y,Cave_X,Cave_Y,Arch_X,Arch_Y,Tree_X,Tree_Y,Volcano_X,Volcano_Y,Waterfall_X,Waterfall_Y,PerspectiveTotalTime_0,PerpectiveIdleTime_0,PerpectiveFinalAngle_0,PerpectiveCorrectAngle_0,PerpectiveDifferenceAngle_0,PerspectiveErrorMeasure_0,PerspectiveTotalTime_1,PerpectiveIdleTime_1,PerpectiveFinalAngle_1,PerpectiveCorrectAngle_1,PerpectiveDifferenceAngle_1,PerspectiveErrorMeasure_1,PerspectiveTotalTime_2,PerpectiveIdleTime_2,PerpectiveFinalAngle_2,PerpectiveCorrectAngle_2,PerpectiveDifferenceAngle_2,PerspectiveErrorMeasure_2,PerspectiveTotalTime_3,PerpectiveIdleTime_3,PerpectiveFinalAngle_3,PerpectiveCorrectAngle_3,PerpectiveDifferenceAngle_3,PerspectiveErrorMeasure_3,PerspectiveTotalTime_4,PerpectiveIdleTime_4,PerpectiveFinalAngle_4,PerpectiveCorrectAngle_4,PerpectiveDifferenceAngle_4,PerspectiveErrorMeasure_4,PerspectiveTotalTime_5,PerpectiveIdleTime_5,PerpectiveFinalAngle_5,PerpectiveCorrectAngle_5,PerpectiveDifferenceAngle_5,PerspectiveErrorMeasure_5,PerspectiveTotalTime_6,PerpectiveIdleTime_6,PerpectiveFinalAngle_6,PerpectiveCorrectAngle_6,PerpectiveDifferenceAngle_6,PerspectiveErrorMeasure_6,PerspectiveTotalTime_7,PerpectiveIdleTime_7,PerpectiveFinalAngle_7,PerpectiveCorrectAngle_7,PerpectiveDifferenceAngle_7,PerspectiveErrorMeasure_7,PerspectiveTotalTime_8,PerpectiveIdleTime_8,PerpectiveFinalAngle_8,PerpectiveCorrectAngle_8,PerpectiveDifferenceAngle_8,PerspectiveErrorMeasure_8,PerspectiveTotalTime_9,PerpectiveIdleTime_9,PerpectiveFinalAngle_9,PerpectiveCorrectAngle_9,PerpectiveDifferenceAngle_9,PerspectiveErrorMeasure_9,PerspectiveTotalTime_10,PerpectiveIdleTime_10,PerpectiveFinalAngle_10,PerpectiveCorrectAngle_10,PerpectiveDifferenceAngle_10,PerspectiveErrorMeasure_10,PerspectiveTotalTime_11,PerpectiveIdleTime_11,PerpectiveFinalAngle_11,PerpectiveCorrectAngle_11,PerpectiveDifferenceAngle_11,PerspectiveErrorMeasure_11,PerspectiveTotalTime_12,PerpectiveIdleTime_12,PerpectiveFinalAngle_12,PerpectiveCorrectAngle_12,PerpectiveDifferenceAngle_12,PerspectiveErrorMeasure_12,Avg_PI_TotalTime,Avg_PI_Distance,Avg_PI_DistRatio,Avg_PI_FinalAngle,Avg_PI_Corrected_PI_Angle,Avg_PointingJudgement_AbsoluteError_0,Avg_PointingJudgement_AbsoluteError_1,Avg_PointingJudgement_AbsoluteError_2,Avg_PointingJudgement_AbsoluteError_3,Avg_PointingJudgement_AbsoluteError_4,Avg_PointingJudgement_AbsoluteError_5,Avg_PerspectiveErrorMeasure
BIOSPACE_001,61.7663155,62.71845,,60.6619739135106,83.7192441860835,144.3812180995941,268.8659835995941,52.9713875412941,162.004044,0.4376647,49.3237152,49.3237152,49.3237152,51.1845048308372,414.863434,-0.7247571,87.50635,272.493652,-87.50635,68.5088903228442,732.436,-3.38717365,114.190582,245.809418,-114.190582,67.6931393225988,308.50235,-0.833103657,87.96279,-87.96279,-87.96279,57.7958114067713,648.58075,-2.83745718,112.76474,247.23526,-112.76474,65.3351531902949,379.560272,-0.7283006,134.3418,134.3418,134.3418,96.7377097606659,214.851822,0.98082906,135.0,135.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.891541,73.37968,113.654762,,,8.327301,171.7362,,,,38.34403,58.0993919,,,,17.8479366,110.863167,,,,,,,,,,,,,,78.31275189583333,,68.009801864624,68.009802,0.0397221543276191,20.790953874588,20.790954,100.0,164.067886,297.527985,73.78324,2023-06-22T16:12:15.2056460+08:00,2023-06-22T17:05:31.4862050+08:00,3196.280559,,,,,-9.263621,2.17216,8.816412,6.005382,,,-11.65938,9.710831,37.54674,37.54674,134.999985,135.0,1.52587891e-05,1.52587891e-05,39.24941,25.2270889,97.41564,26.5650482,-70.85059,70.85059,16.6401787,12.1386,-36.6518745,315.0,-8.348145,8.348145,36.04808,21.0260925,121.741966,333.434937,-148.307037,148.307037,33.8139,26.5453587,-86.21614,90.0,176.216125,176.216125,17.3239765,15.0896912,36.9458237,18.4349518,-18.5108643,18.5108643,37.7989044,26.4943027,49.2499161,315.0,-94.24991,94.24991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.74665662504377,408.6855245714286,-1.0131854895714285,103.01285388571429,-11.965563828571423,110.64199433333333,90.0317505,48.22171095,64.3555518,,,73.78324093696986
320,45.1457558,41.83415,,104.637306,110.265488,214.902794,301.8826998,127.580994,254.859711,0.0695737,76.88327,283.11673,-76.88327,97.28694,437.87146,-1.09736252,74.25543,285.744568,-74.25543,92.00183,418.612885,-1.53173351,94.28839,265.7116,-94.28839,101.16436,385.208862,-1.51394176,81.7095,81.7095,81.7095,77.65619,363.187775,-1.47807384,75.05203,-75.05203,-75.05203,85.7800751,526.8909,-1.99932647,112.985413,112.985428,112.985413,84.63844,480.783844,-1.12085223,85.11401,274.886,-85.11401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.588531,97.61283,174.925919,,,75.3465042,176.628265,,,,41.06102,18.4927654,,,,29.9897079,16.2728767,,,,,,,,,,,,,,78.65116573333333,,133.0,52.133032,0.6131753750768282,273.0,28.273628,100.0,137.8991,270.066071,12.767931,2023-11-09T13:16:38.2363250+08:00,2023-11-09T13:55:52.9219470+08:00,2354.685622,,,,,10.20899,8.323251,-11.67206,-0.3901544,,,-9.851347,-9.396168,37.5524559,37.55246,135.000015,134.999939,-7.62939453e-05,7.62939453e-05,37.3889771,23.5446339,40.4553528,26.5650787,-13.890274,13.890274,17.9119415,12.7148752,-32.2123337,315.000061,-12.7875977,12.7875977,24.64296,19.1461754,-12.6549931,333.434937,-13.9100342,13.9100342,32.6079,21.6130066,88.5743561,90.0,1.42564392,1.42564392,20.5102539,14.9464731,22.887907,18.4349518,-4.452957,4.452957,21.6263142,8.381468,-87.90897,314.999939,42.9089355,42.9089355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.15840415714287,409.6307767142857,-1.2388166614285712,85.75543471428571,-30.128316714285713,135.70909333333333,125.9873846,29.776892699999998,23.1312923,,,12.767931230563613
069,29.701725,46.34002,130.71701,95.8815469741821,99.9383473396301,195.8198943138122,271.8616393138122,59.4166887760162,302.8742,0.984371364,128.405579,-128.405579,-128.405579,142.235419988632,300.001831,0.9957017,0.0,0.0,0.0,71.3085691928864,286.970123,0.687009335,73.00644,-286.993561,73.00644,27.7425854802132,362.896729,0.552087665,107.0495,107.049492,107.0495,83.5718331336975,202.599548,0.6742027,3.84568787,3.84568787,3.84568787,90.3696031570435,23.54331,0.149286151,2.98461914,2.98461914,2.98461914,115.227087020874,279.279968,-0.2006303,115.269623,-244.730377,115.269623,75.3859391291936,129.1355,0.42392385,5.62367249,5.62367249,5.62367249,87.3366360664368,269.988251,0.332623065,38.78418,38.7841873,38.78418,90.4185180664062,360.2155,0.274501145,86.65651,-86.65651,-86.65651,81.2875709533691,360.202881,0.259171546,85.85078,-85.85078,-85.85078,107.163093090057,456.984772,0.5213053,85.86963,274.130371,-85.86963,70.9073507706324,462.9274,-0.0539053679,97.37091,97.37092,97.37091,45.13663,128.715347,56.4189,45.0345421,39.4950943,117.388649,109.360619,,,,5.335314,134.916489,,,,178.451233,86.86051,,,,120.440811,18.5099735,,,,43.61643,79.00191,,,,84.98351198833332,,76.9736700057983,76.97367,0.146973540116293,78.2714529037476,78.271453,60.0000023841858,297.735962,574.6096,22.9018364,2023-03-06T09:03:26.7192700+08:00,2023-03-06T10:16:27.3823430+08:00,4380.663073,-8.388273,9.233606,,,8.843453,11.80211,17.1667,5.006955,-15.70363,7.022743,0.8128175,13.75287,37.5523071,37.55231,90.0000153,90.0,-1.52587891e-05,1.52587891e-05,79.37446,68.94519,-73.46188,330.255127,43.71704,43.71704,27.0576229,18.52713,77.90777,333.434937,-104.472839,104.472839,52.0003967,36.9229736,-41.7445946,330.255127,11.9997559,11.9997559,24.7093773,12.0485373,-85.51514,270.0,-4.48486328,4.48486328,27.2102127,10.6522455,-85.26269,270.0,-4.73730469,4.73730469,35.5221024,16.3795147,133.388931,135.0,1.61106873,1.61106873,24.126545,11.5819016,-32.96006,341.565063,14.5251465,14.5251465,44.6702423,30.0437889,124.882278,126.869896,1.98760986,1.98760986,25.9256477,12.9602222,28.5085487,18.4349518,-10.0735931,10.0735931,28.12524,18.4951344,-87.4887,270,-2.5112915,2.5112915,28.7582417,13.1944714,51.3442726,45,-6.344269,6.344269,27.1416378,10.43257,-46.2591057,45,91.2590942,91.2590942,84.79776114041982,292.1246163846154,0.43074216562307693,63.9013178076923,4.396317961538461,62.96010268,113.374634,70.12590150000001,132.6558715,69.47539225,61.309169999999995,22.90183777067608
